epoch,dice_coef,iou_score,learning_rate,loss,val_dice_coef,val_iou_score,val_loss
0,0.03574024885892868,0.03572731465101242,9.999999747378752e-05,0.025916246697306633,0.8214287161827087,0.8214287161827087,0.009057024493813515
1,0.2232145518064499,0.2232145518064499,9.999999747378752e-05,0.0005646033096127212,0.7857145071029663,0.7857145071029663,0.0012991925468668342
2,0.3660716414451599,0.3660716414451599,9.999999747378752e-05,0.00028627176652662456,0.8214287161827087,0.8214287161827087,0.0003103372291661799
3,0.3660717010498047,0.3660717010498047,9.999999747378752e-05,0.00018183814245276153,0.8214287757873535,0.8214287757873535,0.00014928360178600997
4,0.44642871618270874,0.44642871618270874,9.999999747378752e-05,0.00013769042561762035,0.7857145071029663,0.7857145071029663,9.66034785960801e-05
5,0.3571431040763855,0.3571431040763855,9.999999747378752e-05,0.00010577087959973142,0.8214287161827087,0.8214287161827087,7.189198367996141e-05
6,0.4285716712474823,0.4285716712474823,9.999999747378752e-05,9.275467891711742e-05,0.7857145071029663,0.7857145071029663,5.70372176298406e-05
7,0.40178585052490234,0.40178585052490234,9.999999747378752e-05,6.471048254752532e-05,0.7857145071029663,0.7857145071029663,4.227450699545443e-05
8,0.4285716414451599,0.4285716414451599,9.999999747378752e-05,5.6147393479477614e-05,0.7857144474983215,0.7857144474983215,3.66559143003542e-05
9,0.4285716116428375,0.4285716116428375,9.999999747378752e-05,5.1539624109864235e-05,0.7857145071029663,0.7857145071029663,3.1585317628923804e-05
10,0.3660717010498047,0.3660717010498047,9.999999747378752e-05,4.648016329156235e-05,0.7857144474983215,0.7857144474983215,2.906113695644308e-05
11,0.4553573429584503,0.4553573429584503,9.999999747378752e-05,3.873816240229644e-05,0.7857144474983215,0.7857144474983215,2.3575936211273074e-05
12,0.42857155203819275,0.42857155203819275,9.999999747378752e-05,3.765893416129984e-05,0.821428656578064,0.821428656578064,2.1479714632732794e-05
13,0.39285728335380554,0.39285728335380554,4.999999873689376e-05,3.2369254768127576e-05,0.8214287161827087,0.8214287161827087,1.9509694539010525e-05
14,0.39285731315612793,0.39285731315612793,4.999999873689376e-05,3.110816396656446e-05,0.7857145071029663,0.7857145071029663,1.7600164937903173e-05
15,0.3750001788139343,0.3750001788139343,4.999999873689376e-05,3.134722282993607e-05,0.8214287161827087,0.8214287161827087,1.7416756236343645e-05
16,0.4285716414451599,0.4285716414451599,4.999999873689376e-05,2.93953089567367e-05,0.8214287161827087,0.8214287161827087,1.6659587345202453e-05
17,0.4375002086162567,0.4375002086162567,4.999999873689376e-05,2.6935838832287118e-05,0.7857144474983215,0.7857144474983215,1.5421803254866973e-05
18,0.46428582072257996,0.46428582072257996,2.499999936844688e-05,2.6635534595698118e-05,0.7857144474983215,0.7857144474983215,1.4797520634601824e-05
19,0.41964298486709595,0.41964298486709595,2.499999936844688e-05,2.529838639020454e-05,0.821428656578064,0.821428656578064,1.4282916708907578e-05
20,0.46428585052490234,0.46428585052490234,2.499999936844688e-05,2.4369390303036198e-05,0.8214287161827087,0.8214287161827087,1.3490711353369989e-05
21,0.42857152223587036,0.42857152223587036,2.499999936844688e-05,2.4774359189905226e-05,0.7857145071029663,0.7857145071029663,1.3165947166271508e-05
22,0.41071444749832153,0.41071444749832153,2.499999936844688e-05,2.423300793452654e-05,0.8214287161827087,0.8214287161827087,1.3018696336075664e-05
23,0.41071441769599915,0.41071441769599915,1.249999968422344e-05,2.5285649826400913e-05,0.7857145667076111,0.7857145667076111,1.2854662600148004e-05
24,0.42857155203819275,0.42857155203819275,1.249999968422344e-05,2.228017183369957e-05,0.7857144474983215,0.7857144474983215,1.2274935215828009e-05
25,0.428571492433548,0.428571492433548,1.249999968422344e-05,2.3665346816414967e-05,0.7857145071029663,0.7857145071029663,1.1909184649994131e-05
26,0.40178585052490234,0.40178585052490234,1.249999968422344e-05,2.413776019238867e-05,0.8214287161827087,0.8214287161827087,1.2097016224288382e-05
27,0.4017859101295471,0.4017859101295471,1.249999968422344e-05,2.352851333853323e-05,0.8214287161827087,0.8214287161827087,1.2268791579117533e-05
28,0.4285716116428375,0.4285716116428375,6.24999984211172e-06,2.316086829523556e-05,0.7857145667076111,0.7857145667076111,1.1949811778322328e-05
29,0.41071444749832153,0.41071444749832153,6.24999984211172e-06,2.2057183741708286e-05,0.7857145071029663,0.7857145071029663,1.1559277481865138e-05
30,0.3750002384185791,0.3750002384185791,6.24999984211172e-06,2.2872456611366943e-05,0.8214287161827087,0.8214287161827087,1.1677829206746537e-05
31,0.39285728335380554,0.39285728335380554,6.24999984211172e-06,2.182508251280524e-05,0.8571429252624512,0.8571429252624512,1.1276089935563505e-05
32,0.4196430742740631,0.4196430742740631,6.24999984211172e-06,2.223264345957432e-05,0.7857145071029663,0.7857145071029663,1.1283099411230069e-05
33,0.40178588032722473,0.40178588032722473,3.12499992105586e-06,2.064392356260214e-05,0.7857145071029663,0.7857145071029663,1.0789260159072e-05
34,0.4196430742740631,0.4196430742740631,3.12499992105586e-06,2.1991398170939647e-05,0.8571429252624512,0.8571429252624512,1.1055210961785633e-05
35,0.4196430742740631,0.4196430742740631,3.12499992105586e-06,2.1496090994332917e-05,0.821428656578064,0.821428656578064,1.0811417268996593e-05
36,0.4375001788139343,0.4375001788139343,3.12499992105586e-06,2.1043042579549365e-05,0.7857145071029663,0.7857145071029663,1.1083163371949922e-05
37,0.40178585052490234,0.40178585052490234,3.12499992105586e-06,2.1641650164383464e-05,0.8214287757873535,0.8214287757873535,1.107534444599878e-05
38,0.4107144773006439,0.4107144773006439,1.56249996052793e-06,2.264545219077263e-05,0.8214287161827087,0.8214287161827087,1.0974344149872195e-05
39,0.40178585052490234,0.40178585052490234,1.56249996052793e-06,2.0418703570612706e-05,0.7857145071029663,0.7857145071029663,1.0327274139854126e-05
40,0.41964301466941833,0.41964301466941833,1.56249996052793e-06,2.110961031576153e-05,0.7857144474983215,0.7857144474983215,1.0306702279194724e-05
41,0.3839287757873535,0.3839287757873535,1.56249996052793e-06,2.142854282283224e-05,0.7857145071029663,0.7857145071029663,1.0722377737693023e-05
42,0.42857152223587036,0.42857152223587036,1.56249996052793e-06,2.1238560293568298e-05,0.7857145071029663,0.7857145071029663,1.0809985724336002e-05
43,0.48214292526245117,0.48214292526245117,7.81249980263965e-07,2.1565478164120577e-05,0.7857145071029663,0.7857145071029663,1.0508775631024037e-05
44,0.41964298486709595,0.41964298486709595,7.81249980263965e-07,2.038982893282082e-05,0.821428656578064,0.821428656578064,1.0459900295245461e-05
45,0.45535731315612793,0.45535731315612793,7.81249980263965e-07,2.1205205484875478e-05,0.8214287161827087,0.8214287161827087,1.0281842151016463e-05
46,0.44642871618270874,0.44642871618270874,7.81249980263965e-07,2.0902851247228682e-05,0.7857145071029663,0.7857145071029663,1.0500550160941202e-05
47,0.3392859101295471,0.3392859101295471,7.81249980263965e-07,2.262521411466878e-05,0.7857145071029663,0.7857145071029663,1.0998685866070446e-05
48,0.3839288055896759,0.3839288055896759,3.906249901319825e-07,1.979790067707654e-05,0.8214287161827087,0.8214287161827087,1.0538281458138954e-05
49,0.3482145667076111,0.3482145667076111,3.906249901319825e-07,2.0992923964513466e-05,0.8214287161827087,0.8214287161827087,1.0161437785427552e-05
